"Ár";"Börn Alls";"Móðir með forsjá";"Faðir með forsjá";"Sameiginleg forsjá";"Aðrir fá forsjá eða ótilgreint"
"1991-1995";581;435;14;127;5
"1996-2000";692;316;9;363;5
"2001-2005";656;178;7;470;2
"2006-2010";566;49;3;510;4
"1991";569;550;19;.;0
"1992";521;449;18;45;9
"1993";559;454;10;92;3
"1994";591;386;17;183;5
"1995";667;337;4;317;9
"1996";666;356;11;291;8
"1997";790;378;15;394;3
"1998";699;310;5;382;2
"1999";674;285;8;376;5
"2000";633;251;7;370;5
"2001";787;243;13;531;0
"2002";682;198;6;477;1
"2003";693;184;6;503;0
"2004";577;132;4;438;3
"2005";539;131;5;399;4
"2006";516;76;2;437;1
"2007";565;53;1;497;14
"2008";570;47;6;517;0
"2009";646;41;4;596;5
"2010";533;29;1;503;0
"2011";615;58;1;555;1
