"Ár";"15-44 ára";"15-19 ára";"20-24 ára";"25-29 ára";"30-34 ára";"35-39 ára";"40-44 ára";"45-49 ára"
"1999";66.1;23.8;88.3;122.6;103.3;52.6;8.3;0.0
"2000";69.0;22.8;88.4;130.4;112.4;50.4;10.4;0.4
"2001";64.9;19.7;79.6;125.9;100.4;54.0;9.9;0.2
"2002";64.3;18.2;75.3;120.4;107.2;54.6;10.0;0.7
"2003";66.0;16.4;75.8;130.1;115.0;48.9;11.7;0.2
"2004";67.4;13.0;75.7;132.6;117.9;55.9;11.2;0.4
"2005";67.7;15.1;81.5;129.9;114.0;58.4;10.6;0.8
"2006";68.6;14.4;78.8;128.3;119.4;62.5;11.2;0.3
"2007";69.7;14.2;77.4;134.0;121.9;60.0;10.2;1.0
"2008";71.8;14.6;76.8;134.2;120.6;67.1;13.7;0.9
"2009";74.7;14.3;74.9;140.7;130.7;67.7;15.1;0.7
"2010";73.7;12.9;72.9;137.7;127.5;73.7;14.6;0.2
"2011";67.9;10.8;63.4;128.2;121.7;63.6;15.0;0.9
"2012";68.8;11.0;63.3;134.0;117.2;66.1;15.1;0.5
"2013";65.3;7.1;62.2;117.7;117.0;65.8;14.9;1.8
"2014";65.5;7.5;64.7;122.8;112.2;64.7;12.8;1.5
"2015";61.3;7.9;54.2;116.0;107.2;61.5;13.1;1.1
"2016";59.2;6.5;48.5;109.2;108.6;59.7;14.7;1.8
"2017";58.6;5.9;48.2;108.3;107.3;57.2;13.7;1.3
"2018";59.3;5.3;47.6;108.6;106.3;59.0;13.1;1.4
