"Kyn";"Aldursflokkur/búseta";"Menntun";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Alls";"16 til 74 ára";"Alls";197800;199500;202100;210100;217900;223000;223300;223100;223900;223700;227200;229600;231800;235100;241500;249900
"Alls";"16 til 74 ára";"Grunnmenntun - ISCED 1, 2";81800;82100;80900;82900;84800;88000;86600;85600;85200;83600;82300;81000;78800;71200;74700;75800
"Alls";"16 til 74 ára";"Starfs- og framhaldsmenntun - ISCED 3, 4";72000;73600;74400;76400;79800;79400;79600;81200;80300;78900;80600;82000;83000;88900;85800;86400
"Alls";"16 til 74 ára";"Háskólamenntun - ISCED 5, 6, 7, 8";42600;42900;45900;50000;52500;55200;56900;56200;58200;61000;64100;66500;69900;75000;81000;87600
"Alls";"16 til 74 ára";"Upplýsingar vantar";1300;1000;900;800;800;400;200;39;100;200;200;100;100;0;38;0
"Karlar";"16 til 74 ára";"Alls";99600;100200;102300;108100;112900;115300;113900;112400;112700;113000;114800;115300;116700;119400;123900;129100
"Karlar";"16 til 74 ára";"Grunnmenntun - ISCED 1, 2";35400;34500;35500;38900;39800;41700;41400;40000;39500;39200;39500;39500;39100;35600;37800;39900
"Karlar";"16 til 74 ára";"Starfs- og framhaldsmenntun - ISCED 3, 4";43500;44800;44800;45600;47400;47100;46200;47900;48400;48000;47800;47400;48600;52300;51800;52200
"Karlar";"16 til 74 ára";"Háskólamenntun - ISCED 5, 6, 7, 8";20000;20500;21500;23200;25200;26200;26200;24400;24800;25800;27400;28300;29000;31500;34300;37000
"Karlar";"16 til 74 ára";"Upplýsingar vantar";700;400;500;400;500;300;100;21;100;100;100;100;100;0;0;0
"Konur";"16 til 74 ára";"Alls";98200;99400;99900;102000;105000;107600;109400;110600;111100;110700;112400;114200;115100;115700;117600;120800
"Konur";"16 til 74 ára";"Grunnmenntun - ISCED 1, 2";46400;47700;45400;44000;45000;46200;45200;45600;45800;44400;42800;41500;39800;35600;37000;36000
"Konur";"16 til 74 ára";"Starfs- og framhaldsmenntun - ISCED 3, 4";28500;28800;29600;30800;32400;32300;33400;33200;31900;30900;32800;34500;34400;36600;34000;34200
"Konur";"16 til 74 ára";"Háskólamenntun - ISCED 5, 6, 7, 8";22600;22400;24400;26800;27300;28900;30700;31800;33400;35200;36700;38200;40900;43500;46700;50600
"Konur";"16 til 74 ára";"Upplýsingar vantar";600;500;400;400;400;200;100;18;100;100;100;40;0;0;38;0
