Year;Sex;Age;Total
1999;Alls; 16 ára;3830
1999;Alls; 17 ára;3332
1999;Alls; 18 ára;2982
1999;Alls; 19 ára;2871
1999;Alls; 20 ára;2149
1999;Alls; 21 ára;1904
1999;Alls; 22 ára;1714
1999;Alls; 23 ára;1580
1999;Alls; 24 ára;1432
1999;Alls; 25 ára;1133
1999;Alls; 26 ára;977
1999;Alls; 27 ára;767
1999;Alls; 28 ára;537
1999;Alls; 29 ára;429
1999;Karlar; 16 ára;1874
1999;Karlar; 17 ára;1657
1999;Karlar; 18 ára;1447
1999;Karlar; 19 ára;1370
1999;Karlar; 20 ára;1103
1999;Karlar; 21 ára;947
1999;Karlar; 22 ára;806
1999;Karlar; 23 ára;727
1999;Karlar; 24 ára;665
1999;Karlar; 25 ára;548
1999;Karlar; 26 ára;473
1999;Karlar; 27 ára;354
1999;Karlar; 28 ára;214
1999;Karlar; 29 ára;197
1999;Konur; 16 ára;1956
1999;Konur; 17 ára;1675
1999;Konur; 18 ára;1535
1999;Konur; 19 ára;1501
1999;Konur; 20 ára;1046
1999;Konur; 21 ára;957
1999;Konur; 22 ára;908
1999;Konur; 23 ára;853
1999;Konur; 24 ára;767
1999;Konur; 25 ára;585
1999;Konur; 26 ára;504
1999;Konur; 27 ára;413
1999;Konur; 28 ára;323
1999;Konur; 29 ára;232
2000;Alls; 16 ára;3676
2000;Alls; 17 ára;3342
2000;Alls; 18 ára;3004
2000;Alls; 19 ára;2820
2000;Alls; 20 ára;2249
2000;Alls; 21 ára;2022
2000;Alls; 22 ára;1766
2000;Alls; 23 ára;1527
2000;Alls; 24 ára;1342
2000;Alls; 25 ára;1120
2000;Alls; 26 ára;892
2000;Alls; 27 ára;774
2000;Alls; 28 ára;637
2000;Alls; 29 ára;479
2000;Karlar;16 ára;1850
2000;Karlar; 17 ára;1595
2000;Karlar; 18 ára;1485
2000;Karlar; 19 ára;1366
2000;Karlar; 20 ára;1147
2000;Karlar; 21 ára;983
2000;Karlar; 22 ára;854
2000;Karlar; 23 ára;683
2000;Karlar; 24 ára;597
2000;Karlar; 25 ára;508
2000;Karlar; 26 ára;430
2000;Karlar; 27 ára;369
2000;Karlar; 28 ára;281
2000;Karlar; 29 ára;196
2000;Konur;16 ára;1826
2000;Konur; 17 ára;1747
2000;Konur; 18 ára;1519
2000;Konur; 19 ára;1454
2000;Konur; 20 ára;1102
2000;Konur; 21 ára;1039
2000;Konur; 22 ára;912
2000;Konur; 23 ára;844
2000;Konur; 24 ára;745
2000;Konur; 25 ára;612
2000;Konur; 26 ára;462
2000;Konur; 27 ára;405
2000;Konur; 28 ára;356
2000;Konur; 29 ára;283
2001;Alls;16 ára;3502
2001;Alls; 17 ára;3329
2001;Alls; 18 ára;3074
2001;Alls; 19 ára;2930
2001;Alls; 20 ára;2257
2001;Alls; 21 ára;2206
2001;Alls; 22 ára;2075
2001;Alls; 23 ára;1687
2001;Alls; 24 ára;1364
2001;Alls; 25 ára;1128
2001;Alls; 26 ára;940
2001;Alls; 27 ára;797
2001;Alls; 28 ára;697
2001;Alls; 29 ára;605
2001;Karlar;16 ára;1691
2001;Karlar; 17 ára;1660
2001;Karlar; 18 ára;1451
2001;Karlar; 19 ára;1401
2001;Karlar; 20 ára;1179
2001;Karlar; 21 ára;1063
2001;Karlar; 22 ára;985
2001;Karlar; 23 ára;760
2001;Karlar; 24 ára;607
2001;Karlar; 25 ára;482
2001;Karlar; 26 ára;393
2001;Karlar; 27 ára;353
2001;Karlar; 28 ára;322
2001;Karlar; 29 ára;230
2001;Konur;16 ára;1811
