Location;Participants;Cost
Jackson Heights, Queens;Catwoman, Orin, Superman, Teenage Mutant Ninja Turtles vs. Kate Spencer;$0
Castle Hill, Bronx;Cassandra Cain, Plastic Man, S.T.R.I.P.E. vs. Ant-Man, Batman, Captain Marvel, Doctor Strange, Ghost Rider, Incredible Hulk, Lagoon Boy, Ridder;$9000
Alphabet City, Manhattan;Avengers, Captain Metropolis, Nightwing, Starfire vs. Ant-Man, Ghost Rider;$0
East Village, Manhattan;Defenders, Judomaster, Mas y Menos vs. Aztec, Captain Marvel, Damian Wayne, Doctor Strange, Iron Fist, Lagoon Boy, Poison Ivy, Sub-Mariner;$12000
Morningside Heights, Manhattan;Constantin, Huntress vs. Ant-Man, Avengers, Captain Marvel, Daredevil, Ghost Rider, Guardians of the Galaxy, Hal Jordan, Kamandi, Mary Marvel, Misfit, Owlman, Tiger, Zatanna, Zatara;$8000
Lenox Hill, Manhattan;Avengers, Black Canary, Bronze Tiger, Conan the Barbarian, Ghost Rider, Marvelman, Orin, Supergirl, Teenage Mutant Ninja Turtles vs. Batwoman, Black Panther, Hawkeye, Kate Spencer, Lagoon Boy, Sub-Mariner;$15000
Castle Hill, Bronx;Aquaman, Asterix, Kate Spencer, Nite Owl vs. Black Canary, Captain America, Elektra, Iron Man, Marvelman, Mr. Terrific, Oracle, Shining Knight, Wasp;$6000
Flatbush, Brooklyn;Conan the Barbarian, S.T.R.I.P.E. vs. Superman;$4000
Little Italy, Manhattan;Batwoman, Blue Beetle, Conan the Barbarian, Teenage Mutant Ninja Turtles, Wolverine vs. Elektra, Robin;$1000
Koreatown, Manhattan;Rocketeer, Superman vs. Black Panther, Zatanna;$6000
Gramercy Park, Manhattan;Aquaman, Captain America, Superman vs. Bronze Tiger, Guardians of the Galaxy, Judomaster;$17000
Jamaica, Queens;Teenage Mutant Ninja Turtles vs. Rocketeer;$0
Castle Hill, Bronx;Sub-Mariner vs. Conan the Barbarian, Doc Savage, Marvelman, Starfire;$7000
Park Slope, Brooklyn;Batgirl vs. Asterix;$3000
Castle Hill, Bronx;Aquaman, Asterix, Beast Boy, Black Canary, Captain America, Conan the Barbarian, Guardians of the Galaxy, Kamandi vs. Cassandra Cain, Doctor Strange, Elektra, Lagoon Boy, Wasp, Wonder Woman, Zatanna;$10000
Morningside Heights, Manhattan;Batwoman, Speedy, Superman, Zatanna vs. Mr. Terrific;$15000
Financial District, Manhattan;Catwoman, Daredevil vs. Conan the Barbarian;$3000
Castle Hill, Bronx;Captain Metropolis vs. Aquaman, Dick Grayson, Doctor Strange;$4000
Castle Hill, Bronx;Black Canary, Huntress, Iron Fist, Plastic Man, Wolverine vs. Ant-Man, Bronze Tiger, Dollar Bill;$2000
Park Slope, Brooklyn;Agent Liberty, Batman, Black Canary, Captain Marvel, Hellboy, Kamandi, Marvelman, Poison Ivy, Stephanie Brown, Terry McGinnis, X-Men, Zatanna vs. Jonah Hex, Plastic Man;$30000
Crown Heights, Brooklyn;Doc Savage, Raven, Rocketeer vs. Elektra;$0
Gramercy Park, Manhattan;Black Canary, Captain America, Rocketeer, Spider-Man vs. Iron Fist, Mary Marvel, Zatara;$4000
Brooklyn Heights, Brooklyn;Ant-Man, Avengers, Captain America, Flash, Iron Man vs. Asterix, Black Canary, Calendar Man, Doctor Strange, Incredible Hulk, Plastic Man;$21000
Nolita, Manhattan;Ozymandias vs. Avengers, Mas y Menos, Watchmen;$1000
Nolita, Manhattan;Avengers, Hawkgirl, Superman, Zatara vs. Atom, Defenders, Doc Savage, Ghost Rider, Iron Fist, Phantom Lady, Robin, Sub-Mariner, Wolverine;$11000
Harlem, Manhattan;Doc Savage vs. Aquaman, Ghost Rider;$3000
Greenpoint, Brooklyn;Bruce Wayne, Karate Kid, Stephanie Brown vs. Batman, Doc Savage, Hellboy, Zatanna;$6000
Crown Heights, Brooklyn;Bruce Wayne vs. Zatanna;$1000
Meatpacking District, Manhattan;Booster Gold, Fire, Guardians of the Galaxy, Iron Man, Kid Flash, Power Girl, Raven, Rocketeer, Sub-Mariner, V vs. Calendar Man, Captain America, Marvelman, Owlwoman;$0
Castle Hill, Bronx;Captain America vs. Defenders, Guardians of the Galaxy, Nightwing, Raven, Robin, Superman, Zatanna, Zatara;$2000
Nolita, Manhattan;Iron Man vs. Avengers;$3000
Midtown, Manhattan;Atom, Superman vs. Aquaman, Wonder Woman;$2000
Greenpoint, Brooklyn;Zatara vs. Aquaman, Asterix, Avengers, Bruce Wayne, Elektra, Lagoon Boy, Owlwoman, Zatanna;$5000
Koreatown, Manhattan;Black Canary vs. Doctor Strange, Impulse, Plastic Man, Ray, Sub-Mariner, Wonder Woman, Zatara;$15000
Upper West Side, Manhattan;Ozymandias, Ridder, Sub-Mariner, Superman vs. Aquaman, Robin, Wildcat;$9000
Meatpacking District, Manhattan;Animal Man, Batman vs. Incredible Hulk;$5000
Koreatown, Manhattan;Agent Liberty, Catwoman, Huntress, Incredible Hulk vs. Ant-Man, Fire, Starfire;$9000
Midtown, Manhattan;Ant-Man, Miss Martian, Owlman, Ozymandias vs. Conan the Barbarian, Incredible Hulk, Kid Flash;$9000
Greenpoint, Brooklyn;Black Canary, Green Lantern vs. Asterix, Conan the Barbarian;$2000
Little Italy, Manhattan;Black Canary vs. Green Arrow;$2000
Washington Heights, Manhattan;Defenders, Ghost Rider vs. Batwoman, Bronze Tiger, Elektra, Green Lantern, Incredible Hulk, Lagoon Boy, Plastic Man, Rocketeer, Teenage Mutant Ninja Turtles, Vigilante;$24000
Little Italy, Manhattan;Atom, Kid Flash, Solomon Grundy vs. Beast Boy, Ridder;$3000
Flatiron District, Manhattan;Batman, X-Men vs. Black Canary, Jericho;$5000
East Village, Manhattan;Shadow vs. Hal Jordan, Ridder;$20000
Koreatown, Manhattan;Nightwing, Teenage Mutant Ninja Turtles vs. Avengers;$2000
East Village, Manhattan;Aztec, Bronze Tiger, Cassandra Cain, Elektra, Marvelman, X-Men vs. Atom, Captain Marvel, Plastic Man;$0
Roosevelt Island, Manhattan;Iron Fist vs. Gangbuster, Krypta, Plastic Man, Spider-Man, Supergirl;$8000
Hell's Kitchen, Manhattan;Aquaman, Elektra, Green Arrow, S.T.R.I.P.E. vs. Batman, Batwoman, Black Canary, Green Lantern, Plastic Man, Sub-Mariner, Thor;$0
Castle Hill, Bronx;Avengers, Black Panther, Lagoon Boy, Rocketeer, Teenage Mutant Ninja Turtles vs. Watchmen;$15000
Meatpacking District, Manhattan;Defenders, Plastic Man, Raven, Zatanna vs. Elektra, Superman;$1000
Crown Heights, Brooklyn;Green Lantern, Guardians of the Galaxy, Marvelman, Zatanna vs. Agent Liberty, Ant-Man, Captain America, Green Arrow, Hank Hall;$0
Hell's Kitchen, Manhattan;Animal Man, Black Canary, Captain Marvel, Doctor Strange, Power Girl vs. Superman;$2000
Upper West Side, Manhattan;Black Canary, Defenders, Judomaster, Marvelman, Ozymandias, Wasp vs. Gypsy;$16000
Morningside Heights, Manhattan;Gypsy vs. Conan the Barbarian;$1000
Greenpoint, Brooklyn;Black Panther, Doctor Strange, Hal Jordan vs. Damian Wayne, Mas y Menos;$4000
Castle Hill, Bronx;Tiger vs. Superman;$0
Williamsburg, Brooklyn;Ant-Man, Incredible Hulk, Iron Man, Plastic Man vs. Agent Liberty, Aquaman, Avengers, Beast Boy, Captain America, Marvelman, Zatanna;$10000
Morningside Heights, Manhattan;Black Panther vs. Ant-Man, Captain America, Marvelman, Rocketeer;$2000
Upper West Side, Manhattan;Bruce Wayne, Rocketeer vs. Ozymandias;$2000
Gramercy Park, Manhattan;Batgirl, Doctor Strange, Owlwoman, Robin, Vigilante, Wildcat vs. Batman;$3000
Upper East Side, Manhattan;Asterix, Bruce Wayne, Oracle, Plastic Man, Teenage Mutant Ninja Turtles vs. Dick Grayson, Elektra;$0
Upper West Side, Manhattan;Aquaman, Black Canary, Huntress, Supergirl, Zatanna vs. Batwoman, Plastic Man;$5000
Midtown, Manhattan;Elektra, Teenage Mutant Ninja Turtles vs. Zatanna;$4000
Chinatown, Manhattan;Arsenal, Green Arrow vs. Asterix, Catwoman, Green Lantern, Hank Hall, Kamandi, Kate Spencer, Owlman;$3000
Flushing, Queens;Ant-Man vs. Arsenal, Avengers, Black Canary, Robin, Stephanie Brown;$1000
Greenpoint, Brooklyn;Rocketeer, Wolverine vs. Conan the Barbarian, Guardians of the Galaxy;$10000
Castle Hill, Bronx;Mr. Terrific, Owlman, Teenage Mutant Ninja Turtles, Tiger, X-Men vs. Marvelman, Plastic Man, Poison Ivy;$0
Greenpoint, Brooklyn;Black Canary, Doctor Strange, Incredible Hulk, Judomaster, Mary Marvel, Poison Ivy, Shadow vs. Avengers, Batman, Captain America, Catwoman, Power Girl, Rocketeer, Wasp;$21000
Park Slope, Brooklyn;Marvelman, Poison Ivy vs. Green Arrow, Green Lantern;$4000
Morningside Heights, Manhattan;Defenders, Kid Flash vs. Captain Metropolis;$6000
Co-Op City, Bronx;Elektra, Green Lantern, Plastic Man, Rocketeer, Spider-Man, Sub-Mariner, Tiger vs. Adam Strange, Ant-Man, Bronze Tiger, Conan the Barbarian, Doc Savage, Incredible Hulk, Kamandi, Karate Kid, Teenage Mutant Ninja Turtles, Thor;$24000
Williamsburg, Brooklyn;Marvelman vs. Superman, Teenage Mutant Ninja Turtles;$4000
Gramercy Park, Manhattan;Doctor Strange vs. Black Canary;$3000
Little Italy, Manhattan;Atom, Doc Savage vs. Black Canary, Solomon Grundy, Wonder Woman;$4000
Koreatown, Manhattan;Booster Gold, Captain Marvel, Daredevil, Elektra, Owlwoman vs. Damian Wayne, Plastic Man;$11000
Roosevelt Island, Manhattan;Incredible Hulk vs. Animal Man, Ant-Man, Green Lantern, Zatara;$5000
Brooklyn Heights, Brooklyn;Animal Man, Catwoman, Kid Flash vs. Atom, Captain America, Captain Marvel, Green Lantern, Hawkeye, Lagoon Boy, Zatanna;$3000
Washington Heights, Manhattan;Aquaman, Black Panther, Flash, Impulse, Incredible Hulk, Karate Kid, Ozymandias vs. Nightwing;$15000
Alphabet City, Manhattan;Captain America, Robin vs. Ant-Man, Marvelman, Teenage Mutant Ninja Turtles;$7000
Greenpoint, Brooklyn;Asterix, Batman, Guardians of the Galaxy, Ozymandias, Zatara vs. Booster Gold, Mr. Terrific, Raven, Star-Spangled Kid, X-Men;$6000
Harlem, Manhattan;Doc Savage, Incredible Hulk vs. Aquaman, Conan the Barbarian, Hank Hall, Wasp, Zatanna;$4000
Koreatown, Manhattan;Avengers, Impulse, Zatanna vs. Defenders;$0
