Location;Participants;Cost
Concord Dawn, Rebel Alliance;Admiral Gial Ackbar, Bodhi Rook, Han Solo, Momaw Nadon, Pong Krell vs. C-3PO, Chirrut Îmwe, Commander Fox, Nien Nunb, Poe Dameron, R2-Q5, Salacious B. Crumb, Sarkli;$16000
Yavin, Manhattan;Luminara Unduli vs. Avengers, Cliegg Lars, Commander Wolffe, Norra Wexley, Palpatine, Royal Guard;$5000
Tatooine, Manhattan;Longo Two-Guns, Wittin vs. Alton Kastle;$4000
Bespin, Rebel Alliance;Avengers, Cliegg Lars, Lieutenant Watts, Moralo Eval, Wolverine vs. Admiral Conan Antonio Motti, Count Dooku, Jan Dodonna, Nute Gunray, Palpatine, Rorschach;$0
Hosnian Prime, The Empire;Avengers vs. Ree-Yees;$7000
Onderon, Manhattan;Avengers, Baze Malbus, Chirrut Îmwe, Grand Moff Wilhuff Tarkin, Leia Organa, Quinlan Vos, R2-D2, R5-D4, Ransolm Casterfo, Saw Gerrera, Shara Bey, Sola Naberrie, Wag Too, X-Men vs. Captain Panaka, Ciena Ree, General Maximilian Veers, Lor San Tekka, Obi-Wan Kenobi, Pong Krell;$27000
Geonosis, The Empire;Finn vs. Darth Maul, Unkar Plutt;$3000
Concord Dawn, Rebel Alliance;Avengers, Darth Maul, R2-Q5, Sergeant Kreel vs. Cassian Andor;$6000
Kamino, The Empire;Commander Bly, Count Dooku, Daultay Dofine, Saw Gerrera, Sora Bulq vs. BB-8, Captain Phasma;$1000
Hosnian Prime, The Empire;Longo Two-Guns, Wuher vs. Captain Phasma, Padmé Amidala;$6000
Geonosis, The Empire;Cassian Andor, Lieutenant Thire, Tulon Voidgazer vs. Alton Kastle, Avengers, Del Meeko;$1000
Subterrel, Manhattan;Coleman Kcaj, Ellé, Shaak Ti vs. Bo-Katan Kryze;$4000
Bespin, Rebel Alliance;Jas Emari, Sinjir Rath Velus vs. Biggs Darklighter, Lux Bonteri, Quarrie, Sergeant Kreel;$0
Geonosis, The Empire;Avengers, Teedo, Wolverine vs. BB-8, Chirrut Îmwe, Iron Man, Kylo Ren, Lux Bonteri, Quinlan Vos, R2-D2, Salacious B. Crumb;$11000
Jedha, The Empire;Avengers, Ciena Ree, Pooja Naberrie vs. Alton Kastle, Lando Calrissian;$1000
Geonosis, The Empire;Moff Delian Mors, Nien Nunb vs. Rogue Squadron;$1000
Dagobah, Rebel Alliance;Faro Argyus, Quinlan Vos, Watchmen vs. Borvo the Hutt, Chief Chirpa, Count Dooku, Leia Organa, Nien Nunb, Rogue Squadron, San Hill, Wolverine;$13000
Bespin, Rebel Alliance;R2-D2 vs. Jom Barell, Qui-Gon Jinn, Zuckuss;$9000
Geonosis, The Empire;Xamuel Lennox vs. Admiral Gial Ackbar, BB-8, Captain Panaka, Ciena Ree, Clone 99, Commander Fil, Hondo Ohnaka, Jom Barell, Jyn Erso, Klaatu, Luke Skywalker, Obi-Wan Kenobi, R5-J2, Rey, Ric Olié, Watchmen;$0
Umbara, Manhattan;Han Solo, Luminara Unduli, Taun We, Thor vs. Admiral Firmus Piett, Admiral Gial Ackbar, Cassian Andor;$2000
Kamino, The Empire;Avengers, Bib Fortuna, Inspector Thanoth, K-2SO, Wuher vs. Has Obbit, Hondo Ohnaka, Ima-Gun Di, Iron Man, Rey, Watchmen;$6000
Hosnian Prime, The Empire;Lux Bonteri, Rorschach, Watchmen vs. Han Solo;$1000
Kashyyyk, The Empire;Barada, Clone Trooper Tup, Garindan, General Maximilian Veers, Han Solo, Lieutenant Watts, Longo Two-Guns, Po Nudo Paul, R4-P17 vs. Captain Phasma, Commander Wolffe, Padmé Amidala, Watchmen;$3000
Yavin, Manhattan;Mawhonic, Moff Tiaan Jerjerrod vs. Chief Chirpa, Darth Maul, Rey;$11000
Concord Dawn, Rebel Alliance;Malé-Dee, Ona Nobis, Oola, Plo Koon vs. Mawhonic, Rae Sloane, Ree-Yees;$2000
Bespin, Rebel Alliance;Wolverine vs. Bazine Netal;$0
Kamino, The Empire;Baze Malbus, Cassian Andor, Inspector Thanoth, Jubnuk, Ransolm Casterfo vs. Bo-Katan Kryze, Nien Nunb;$7000
Dathomir, Rebel Alliance;Jas Emari vs. General Crix Madine;$3000
Mon Cala, The Empire;Boba Fett vs. Aurra Sing, Ciena Ree;$4000
Geonosis, The Empire;Avengers, BB-8, Oppo Rancisis, R4-G9, Salacious B. Crumb vs. Qui-Gon Jinn;$0
Onderon, Manhattan;Clone Trooper Fives, Daultay Dofine, Greedo, Watchmen vs. Chirrut Îmwe, Darth Maul, General Maximilian Veers, Quarrie, R2-D2;$12000
Kashyyyk, The Empire;Captain Roos Tarpals, Lieutenant Watts, Palpatine vs. Teedo;$3000
Jedha, The Empire;Amee, Rae Sloane vs. BB-8, Bodhi Rook, Captain Lorth Needa, FN-2199;$14000
Hosnian Prime, The Empire;Agent Kallus, Alton Kastle, Eli Vanto, Karina the Great, Rorschach, Watchmen vs. Greer Sonnel, Moteé;$26000
Alderaan, Rebel Alliance;Longo Two-Guns vs. Cliegg Lars, Doctor Aphra, Kylo Ren, Salacious B. Crumb, Watchmen;$10000
Bespin, Rebel Alliance;Armitage Hux, General Maximilian Veers vs. Boss Rugor Nass, Clone Trooper Fives;$2000
Hoth, The Empire;Admiral Kendal Ozzel, Aurra Sing, Mister Bones vs. Baze Malbus, Ciena Ree, Leia Organa;$8000
Dagobah, Rebel Alliance;Leia Organa vs. Admiral Kendal Ozzel, Embo, Moff Delian Mors, R2-D2, Rogue Squadron, Wolverine;$0
Bespin, Rebel Alliance;Boba Fett vs. Borvo the Hutt;$1000
Ryloth, Manhattan;Admiral Kendal Ozzel, Captain Phasma, Eli Vanto, Iron Man, Max Rebo, Saesee Tiin vs. Berch Teller, Chewbacca, General Crix Madine;$10000
Concord Dawn, Rebel Alliance;Wolverine vs. R2-KT;$3000
